edad,delito_previo,num_delitos_previos,meses_en_prision,empleo,apoyo_familiar,consumo_sustancias,nivel_educativo,supervision_post,reincidencia
56,Robo,1,28,No,Si,No,Universidad,Media,No
46,Violencia_familiar,2,25,Si,No,No,Secundaria,Baja,Si
32,Robo,0,45,No,Si,No,Preparatoria,Baja,No
60,Narcomenudeo,2,15,Si,No,No,Preparatoria,Baja,No
25,Violencia_familiar,1,30,No,Si,Si,Secundaria,Media,Si
38,Narcomenudeo,2,11,No,Si,Si,Secundaria,Alta,Si
56,Narcomenudeo,0,22,Si,Si,No,Secundaria,Alta,No
36,Narcomenudeo,0,58,No,Si,No,Preparatoria,Media,No
40,Robo,1,21,Si,Si,Si,Secundaria,Baja,No
28,Fraude,1,50,Si,No,No,Universidad,Media,No
28,Violencia_familiar,4,41,No,No,No,Primaria,Media,Si
41,Fraude,2,53,Si,Si,Si,Preparatoria,Baja,No
53,Robo,0,14,No,Si,Si,Secundaria,Baja,No
57,Violencia_familiar,2,17,No,Si,Si,Preparatoria,Baja,Si
41,Fraude,1,33,Si,No,No,Secundaria,Media,No
20,Robo,3,57,No,No,Si,Universidad,Media,Si
39,Robo,1,16,Si,No,No,Secundaria,Alta,No
19,Violencia_familiar,0,13,Si,No,No,Secundaria,Baja,No
41,Narcomenudeo,1,28,Si,Si,No,Secundaria,Baja,No
61,Violencia_familiar,0,44,Si,Si,Si,Secundaria,Media,No
47,Robo,1,29,Si,No,No,Secundaria,Media,No
55,Violencia_familiar,0,13,Si,No,No,Secundaria,Baja,No
19,Robo,2,40,No,Si,No,Preparatoria,Baja,No
38,Robo,2,36,No,Si,No,Secundaria,Baja,Si
50,Robo,2,45,No,No,No,Preparatoria,Baja,Si
29,Violencia_familiar,0,21,No,Si,No,Secundaria,Baja,No
39,Narcomenudeo,1,8,No,Si,Si,Secundaria,Alta,Si
61,Narcomenudeo,2,48,Si,No,Si,Universidad,Media,Si
42,Robo,1,54,No,Si,Si,Secundaria,Media,Si
44,Violencia_familiar,5,40,No,Si,No,Universidad,Media,Si
59,Robo,2,51,Si,No,Si,Primaria,Baja,Si
45,Violencia_familiar,1,44,No,No,Si,Primaria,Baja,Si
33,Narcomenudeo,3,30,No,No,No,Preparatoria,Media,Si
32,Robo,3,3,No,Si,Si,Preparatoria,Media,Si
64,Narcomenudeo,1,37,No,Si,Si,Primaria,Baja,Si
61,Robo,3,42,Si,No,Si,Secundaria,Media,Si
20,Violencia_familiar,0,10,Si,Si,No,Preparatoria,Media,No
54,Narcomenudeo,1,54,Si,Si,No,Secundaria,Baja,No
