Estado,NN_actual,NN_mejorado,S-Naive,S-Naive+tend,Mejor modelo,MAPE mejor
Morelos,3.0,1.3,3.4,3.1,NN_mejorado,1.3
San Luis Potosí,1.4,2.2,2.7,3.3,NN_actual,1.4
Tabasco,2.1,1.8,4.8,4.2,NN_mejorado,1.8
México,6.3,5.6,3.5,1.9,S-Naive+tend,1.9
Ciudad de México,5.3,5.7,3.6,2.0,S-Naive+tend,2.0
Jalisco,5.5,4.9,5.2,2.2,S-Naive+tend,2.2
Querétaro,3.2,4.8,3.9,3.9,NN_actual,3.2
Puebla,3.4,4.0,4.4,4.6,NN_actual,3.4
Veracruz de Ignacio de la Llave,4.2,3.8,3.9,4.0,NN_mejorado,3.8
Baja California,3.9,3.9,4.4,4.1,NN_mejorado,3.9
Chihuahua,4.5,5.4,9.0,4.9,NN_actual,4.5
Michoacán de Ocampo,4.5,4.9,4.6,5.6,NN_actual,4.5
Aguascalientes,4.7,5.6,8.9,4.6,S-Naive+tend,4.6
Sinaloa,5.0,5.8,11.3,7.6,NN_actual,5.0
Baja California Sur,5.3,5.7,6.3,6.0,NN_actual,5.3
Guerrero,5.7,6.3,5.4,6.8,S-Naive,5.4
Colima,5.4,6.6,10.6,5.9,NN_actual,5.4
Zacatecas,7.0,8.3,8.5,5.5,S-Naive+tend,5.5
Coahuila de Zaragoza,7.6,5.6,12.4,9.4,NN_mejorado,5.6
Quintana Roo,6.3,6.1,6.9,5.7,S-Naive+tend,5.7
Tamaulipas,8.1,9.4,5.8,6.3,S-Naive,5.8
Hidalgo,8.2,6.6,9.3,7.7,NN_mejorado,6.6
Durango,7.0,7.7,11.4,7.2,NN_actual,7.0
Guanajuato,8.8,7.7,9.1,8.0,NN_mejorado,7.7
Nuevo León,7.9,9.1,13.5,8.0,NN_actual,7.9
Tlaxcala,8.8,11.4,52.2,30.7,NN_actual,8.8
Yucatán,9.7,11.4,32.0,20.0,NN_actual,9.7
Oaxaca,21.7,23.9,26.6,11.5,S-Naive+tend,11.5
Campeche,16.1,12.0,20.2,37.6,NN_mejorado,12.0
Nayarit,18.3,15.6,12.6,13.9,S-Naive,12.6
Sonora,13.3,20.4,24.7,20.4,NN_actual,13.3
Chiapas,16.8,27.3,66.2,42.5,NN_actual,16.8
