tipo_incidente,turno,dia_semana,zona,quien_reporta,arma_mencionada,prioridad
Robo_con_violencia,Matutino,Entre_semana,Via_publica,Vecino,Si,Alta
Persona_sospechosa,Vespertino,Fin_de_semana,Via_publica,Vecino,Si,Alta
Accidente_vial,Vespertino,Fin_de_semana,Via_publica,Vecino,No,Media
Persona_sospechosa,Nocturno,Entre_semana,Habitacional,Anonimo,No,Baja
Auto_sospechoso,Matutino,Entre_semana,Comercial,Anonimo,No,Baja
Accidente_vial,Vespertino,Entre_semana,Habitacional,Victima,Si,Alta
Accidente_vial,Matutino,Fin_de_semana,Habitacional,Vecino,No,Media
Robo_con_violencia,Vespertino,Entre_semana,Via_publica,Testigo,Si,Alta
Robo_sin_violencia,Nocturno,Entre_semana,Escolar,Anonimo,No,Media
Accidente_vial,Matutino,Fin_de_semana,Habitacional,Anonimo,No,Media
Persona_sospechosa,Nocturno,Fin_de_semana,Via_publica,Anonimo,Si,Alta
Incendio,Matutino,Entre_semana,Comercial,Vecino,No,Alta
Disturbio_vecinal,Nocturno,Entre_semana,Via_publica,Anonimo,No,Baja
Robo_con_violencia,Vespertino,Fin_de_semana,Habitacional,Victima,Si,Alta
Disturbio_vecinal,Matutino,Fin_de_semana,Habitacional,Victima,No,Baja
Auto_sospechoso,Nocturno,Entre_semana,Habitacional,Testigo,No,Baja
Robo_sin_violencia,Nocturno,Entre_semana,Comercial,Vecino,No,Baja
Accidente_vial,Matutino,Entre_semana,Habitacional,Anonimo,No,Media
Auto_sospechoso,Matutino,Entre_semana,Via_publica,Anonimo,No,Baja
Robo_con_violencia,Matutino,Entre_semana,Habitacional,Victima,No,Alta
Violencia_familiar,Vespertino,Entre_semana,Comercial,Vecino,No,Alta
Auto_sospechoso,Nocturno,Fin_de_semana,Comercial,Vecino,No,Baja
Robo_sin_violencia,Nocturno,Entre_semana,Habitacional,Victima,No,Baja
Accidente_vial,Vespertino,Entre_semana,Via_publica,Testigo,No,Media
Auto_sospechoso,Matutino,Entre_semana,Via_publica,Vecino,No,Baja
Robo_sin_violencia,Vespertino,Entre_semana,Via_publica,Victima,No,Baja
Accidente_vial,Vespertino,Entre_semana,Habitacional,Anonimo,No,Media
Persona_sospechosa,Matutino,Entre_semana,Comercial,Victima,No,Media
Violencia_familiar,Vespertino,Fin_de_semana,Via_publica,Victima,No,Alta
